pharmacy_id,name,brand,address,latitude,longitude,source
ChIJw1hC8oFX0DERIJYWc_6SJ_4,Bijas Mediserve Pharmacy @ Jalan Sultanah,Other,"118, Jalan Sultanah, Kampung Pegawai, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.851218,102.9290013,google_places
ChIJb_xMOoxZ0DERFlrtB2hyGZg,Bijas Mediserve Pharmacy @ Taman Mutiara,Other,"17, Jalan Susur Mutiara, Taman Susur Mutiara, 83300 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8600602,103.0050616,google_places
ChIJHW0FM1FB2jERCYltym6cO98,BM Pharmacy,Other,"12A, Jln Belatuk 3, Taman Scientex, 81700 Pasir Gudang, Johor Darul Ta'zim, Malaysia",1.5007766,103.9154072,google_places
ChIJbwYdztFw2jERgsQ3gkowklE,Breeds Pharmacy Sdn Bhd,Other,"32, Jalan Impian Senai Utama, Taman Impian Senai, 81400 Senai, Johor Darul Ta'zim, Malaysia",1.5955274,103.6458487,google_places
ChIJQcAZEpBg2jERS61p4Jph3QA,Caremart Pharmacy Sdn Bhd,Other,"Jalan Niaga 2, Pusat Perdagangan Kota Tinggi, 81900 Kota Tinggi, Johor Darul Ta'zim, Malaysia",1.7293155999999998,103.9011321,google_places
ChIJA-so0Am50TER5Tc5eBLnXcQ,"CARiNG Pharmacy Jalan Pesta, Muar",Caring,"29-29, G Floor, Jln Pesta 1/2, Taman Kampung Kenanga Tun Dr Ismail, 84000 Muar, Johor Darul Ta'zim, Malaysia",2.0489752,102.5839452,google_places
ChIJP-hy0yi50TERSAPptEr6Pyo,"CARiNG Pharmacy Pusat Perniagaan Mas Jaya, Muar Johor",Caring,"35 & 37, Jalan Perniagaan Jaya 3, Pusat Perniagaan Mas Jaya, 84000 Muar, Johor Darul Ta'zim, Malaysia",2.0693634,102.5811686,google_places
ChIJAVbAewBz2jERGBZDT51l9Jk,CARiNG Pharmacy | AEON Mall Bukit Indah,Caring,"Lot S51, 2Nd Floor, AEON Mall, No. 8, Jalan Indah 15/2, Bukit Indah, 79100 Iskandar Puteri, Johor, Malaysia",1.4816485,103.6558715,google_places
ChIJ56jHoSFs2jER6GCGuWatfoY,"CARiNG Pharmacy | AEON Tebrau City, Johor Bahru",Caring,"Lot F29B,1st Floor, Aeon Tebrau City Shopping Centre, Persiaran Desa Tebrau, Taman Desa Tebrau, 81100 Johor Bahru, Johor, Malaysia",1.5490688,103.7959073,google_places
ChIJRSYKdd5q2jERje3rvyeEwfk,"CARiNG Pharmacy | Bandar Seri Alam, Masai",Caring,"No 8, Jalan Suria 2, Bandar Baru Seri Alam, 81750 Masai, Johor Darul Ta'zim, Malaysia",1.4941022,103.8738164,google_places
ChIJSwdzmMlX0DERQqZWFqe_FAQ,"CARiNG Pharmacy | Bukit Perdana, Batu Pahat",Caring,"82 & 84, Jalan Susur Perdana Tengah, Taman Bukit Perdana 2, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8419276,102.9504057,google_places
ChIJf7JvK7wL2jERCro0kierj7U,"CARiNG Pharmacy | Eco Botanic, Johor",Caring,"18, Jalan Eko Botani 3/2, Taman Eko Botani, 79100 Iskandar Puteri, Johor Darul Ta'zim, Malaysia",1.4405930999999998,103.618364,google_places
ChIJn9RWmtJ52jERkMbCsRyCrpM,CARiNG Pharmacy | Indahpura • Kulai,Caring,"No.237, Jln Kenanga 29/8, Indahpura, 81000 Kulai, Johor, Malaysia",1.6422989,103.6174492,google_places
ChIJSZZv4k9t0DERuB6P0Xzdvj4,"CARiNG Pharmacy | Jalan Manggis, Kluang",Caring,"No. 11A, G Floor, Jalan Manggis, Kampung Masjid Lama, 86000 Kluang, Johor Darul Ta'zim, Malaysia",2.0364927,103.3198068,google_places
ChIJkbLcPGsT2jERm8fhjaml3ok,"CARiNG Pharmacy | JB City Square, Johor Bahru",Caring,"Lot M2-18,19,20,21, Level 2, No. 106-108, Jalan Wong Ah Fook, Bandar Johor Bahru, 80000 Johor Bahru, Johor, Malaysia",1.461799,103.7639603,google_places
ChIJ5-5nW9sS2jERUryL_gpL7V0,"CARiNG Pharmacy | JB Sentral, Johor Bahru",Caring,"Lot 13A, Aras 3, Bangunan, Jb Sentral, Jalan Jim Quee, Bukit Chagar, 80300 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.4632467,103.7645805,google_places
ChIJyfon0jZt2jERtfgMLLLejsc,"CARiNG Pharmacy | Johor Jaya, Johor Bahru",Caring,"82, G Floor, 82, Jalan Dedap 4, Taman Johor Jaya, 81100 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.5420205000000002,103.8031744,google_places
ChIJQ_dIqcQS2jERQvAZEbybE1I,"CARiNG Pharmacy | Komtar JBCC, Johor Bahru",Caring,"Lot 218, 2nd Floor, Komtar, City Centre, 80000 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.46353,103.7626998,google_places
ChIJQZpY7Wpt2jERZrPOYweu_XA,"CARiNG Pharmacy | KSL City Mall, Johor Bahru",Caring,"Lot 71 & 72,Level LG, KSL City Mall, 33, Jalan Seladang, Taman Abad, 80250 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.4858456,103.762422,google_places
ChIJsTixhkJt2jER5Fe0UaGdOt8,CARiNG Pharmacy | Larkin Sentral,Caring,"Lot 5B-04A/1,Ground, Jalan Garuda, Larkin Jaya, 80350 Johor Bahru, Johor, Malaysia",1.4958399999999998,103.7431,google_places
ChIJwfD2Sv5t2jERVZ7N9ZFOIVI,"CARiNG Pharmacy | Mid Valley SouthKey, Johor Bahru",Caring,"Lot F-022, 1, The Mall, Mid Valley, No. 1, Persiaran, Southkey, 80150 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.500823,103.7777845,google_places
ChIJO4wt7YFR0DER6VTH0v7MwnY,"CARiNG Pharmacy | Old Street, Batu Pahat",Caring,"1, Jalan Rotan Kong, Taman Sri Jaya, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8637008,102.9540803,google_places
ChIJMTNUEv9y2jERwf21fy_UTzA,"CARiNG Pharmacy | Paradigm Mall, Johor Bahru",Caring,"Lot UG-08, Paradigm Mall, Lbh Skudai, Taman Bukit Mewah, 81200 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.5158796,103.6855722,google_places
ChIJ7Rx9iIFt2jERtI6o6clhr7g,"CARiNG Pharmacy | Permas Jaya, Masai",Caring,"29, Jalan Permas 10/2, Taman Permas Jaya, Bandar Baru Permas Jaya, 81750 Masai, Johor Darul Ta'zim, Malaysia",1.4964484,103.8160357,google_places
ChIJk-ew3uqj0DEREWaQMkdA7bs,"CARiNG Pharmacy | Pusat Perniagaan Kota Emas, Pontian",Caring,"6, Jalan Emas 5, Pusat Perniagaan Kota Emas, 82000 Pontian, Johor Darul Ta'zim, Malaysia",1.4770385,103.400279,google_places
ChIJ58NJqhZz2jER6Ygk4h0P08A,"CARiNG Pharmacy | Setia Tropika, Johor Bahru",Caring,"39, Jalan Setia Tropika 1/15, Setia Tropika, 81200 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.5460545,103.7126217,google_places
ChIJFdWQbadz2jER7RBFf7A1pxA,"CARiNG Pharmacy | SKS Mart, Skudai",Caring,"Lot KB 08, 09 & 10, SKS Mart, Pasar Raya SKS, Taman Industri Jaya, 81300 Skudai, Johor Darul Ta'zim, Malaysia",1.49598,103.6418107,google_places
ChIJ9_xOeqhz2jERJXKtQCY6PJs,"CARiNG Pharmacy | Sutera Mall, Skudai",Caring,"Lots LG-086,LG-087 & LG-088,Level Ground, Sutera Mall, 1, Jalan Sutera Tanjung 8/4, Taman Sutera Utama, 81300 Skudai, Johor Darul Ta'zim, Malaysia",1.5175177,103.6709307,google_places
ChIJIVgEzb_ZzzERhwJACFq3oV0,"CARiNG Pharmacy | Taman Bintang Jaya, Labis Johor",Caring,"No.118, Ground floor, Jln Segamat, Taman Bintang Jaya, 85300 Labis, Johor Darul Ta'zim, Malaysia",2.3987419,103.0185955,google_places
ChIJ788NzGRt2jERlH_3CzvRm20,"CARiNG Pharmacy | Taman Daya, Johor Bahru",Caring,"87, Jalan Sagu 18, Taman Daya, 81100 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.5469034,103.7639956,google_places
ChIJeyow475u2jERyId4j8apADU,"CARiNG Pharmacy | Taman Gaya, Ulu Tiram",Caring,"25, Jalan Sasa 5, Taman Gaya, 81800 Ulu Tiram, Johor Darul Ta'zim, Malaysia",1.5686448,103.8022021,google_places
ChIJv1sBcXV52jER-ilw8IKZGEk,"CARiNG Pharmacy | Taman Kulai Utama, Johor",Caring,"12, Jalan Anggerik 1, Taman Kulai Utama, 81000 Kulai, Johor Darul Ta'zim, Malaysia",1.6651905,103.5938274,google_places
ChIJS374CkRs2jERB_JeoLbGSeo,"CARiNG Pharmacy | Taman Molek, Johor Bahru",Caring,"14, Jalan Molek 2/1, Taman Molek, 81100 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.527682,103.792572,google_places
ChIJw7XBcIZu2jEREdo8QsW816E,"CARiNG Pharmacy | Taman Mount Austin, Johor Bahru",Caring,"No 31, Jalan Austin Heights 3, Taman Mount Austin, 81100 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.5602805,103.7804052,google_places
ChIJfXUSk4B02jERM5O3SN0xQeE,"CARiNG Pharmacy | Taman Mutiara Mas, Skudai",Caring,"9, Jln Mutiara 1/2, Mutiara Rini, 81300 Skudai, Johor Darul Ta'zim, Malaysia",1.5144896,103.63237,google_places
ChIJP80UJV5z2jERshCQaVkl8vM,"CARiNG Pharmacy | Taman Nusa Bestari, Iskandar Puteri",Caring,"32G, Jalan Bestari 2/2, Taman Nusa Bestari, 79150 Iskandar Puteri, Johor Darul Ta'zim, Malaysia",1.4814653,103.6651539,google_places
ChIJn_481xwL2jERSjImy6rl2ac,"CARiNG Pharmacy | Taman Nusa Perintis 2, Gelang Patah",Caring,"29,Jalan, Medan Nusa Perintis 6, Taman Nusa Perintis 2, 81550 Gelang Patah, Johor Darul Ta'zim, Malaysia",1.4505849,103.5932938,google_places
