pharmacy_id,name,address,state,postcode,brand,source,latitude,longitude,geocode_source
WATd927861dff,Watsons Aeon Bukit Indah Shopping,"WATSONS AEON BUKIT INDAH SHOPPING, LOT G55 AEON BUKIT INDAH TAMAN BUKIT INDAH . 79100 Johor Bahru Johor",Johor,79100,Watsons,Watsons,1.4816055,103.6557434,full
WATca70ec57e7,Watsons Aeon Bukit Mertajam,"WATSONS AEON BUKIT MERTAJAM, LOT G47 GROUND FLOOR AEON MALL BUKIT MERTAJAM JALAN ROZHAN ALMA . 14000 Bukit Mertajam Pulau Pinang",Pulau Pinang,14000,Watsons,Watsons,5.319555500000001,100.4778268,full
WAT3e55b31ef5,Watsons Aeon Bukit Raja,"WATSONS AEON BUKIT RAJA, LOTF24& F24AFIRSTFLOOR AEON BUKIT RAJA SHOPPING CENTRE PERSIARAN . 41150 Klang Selangor",Selangor,41150,Watsons,Watsons,3.060651,101.4724267,full
WATc7de93ef81,Watsons Aeon Bukit Tinggi Shopping,"WATSONS AEON BUKIT TINGG! SHOPPING, LOT G02, GROUND FLOOR, AEON MALL BUKIT TINGGI, NO 1 PERSIARAN BATU NILAM 1/KS6 BANDAR BUKIT TINGGI 2 . 41200 Klang Selangor",Selangor,41200,Watsons,Watsons,2.9954676,101.4441775,full
WAT9e903b6820,Watsons Aeon Cheras Selatan,"WATSONS AEON CHERAS SELATAN, LOT G06 GROUND FLOOR AEON CHERAS SELATAN LEBUH TUN HUSSIEN ONN . 43200 Cheras Kuala Lumpur",Kuala Lumpur,43200,Watsons,Watsons,3.0335152,101.7650236,full
WAT28ebc4ed2b,Watsons Aeon Ipoh Station 18,"WATSONS AEON IPOH STATION 18, LOT G10 GF AEON IPOH STATION 18 NO.12 SUSURAN STATION 18 . 31650 Ipoh Perak",Perak,31650,Watsons,Watsons,4.545475,101.0699665,full
WATfb326bb5dd,Watsons Aeon Kepong,"WATSONS AEON KEPONG, LOT F09 1ST FLOOR AEON METRO PRIMA SHOPPING CENTRE JALAN METRO PRIMA . 52100 Kepong Kuala Lumpur",Kuala Lumpur,52100,Watsons,Watsons,3.2132147,101.6390662,full
WAT652482a767,Watsons Aeon Kinta City,"WATSONS AEON KINTA CITY, LOT F7,1ST FLOOR, AEON KINTA CITY SHOPPING CENTRE NO. 2,JLN TEH LEAN SWEE, OFF JALAN SULTAN AZLAN SHAH UTARA. . 31400 Ulu Kinta Perak",Perak,31400,Watsons,Watsons,4.6139763,101.1186527,full
WAT8bab4dde50,Watsons Aeon Kuching Central,"WATSONS AEON KUCHING CENTRAL.LOT F15&F16 1ST FLOOR AEON MALL KUCHING CENTRAL, NO.88 JALAN DATUK PATINGGI HJ AHMAD ZAIDI ADRUCE, . 93200 Kuching 'Sarawak",Sarawak,93200,Watsons,Watsons,1.5267235,110.3371786,full
WAT6b0d864a3c,Watsons Aeon Kulaijaya Gosa&G06,"WATSON'S AEON KULAIJAYA,GOSA&G06,GF,PDT 106273,PERSIARAN INDAHPURA UTAMA,BANDAR INDAHPURA, . 81000 Kulai Jaya Johor",Johor,81000,Watsons,Watsons,1.640846,103.6170717,full
WAT0554c7d74d,Watsons Aeon Mall Kota Bahru,"WATSONS AEON MALL KOTA BAHRU, LOT F33,FIRST é FLOOR,AEON MALL KOTA BHARU LEMBAH SIREH, . 15050 Kota Bharu Kelantan",Kelantan,15050,Watsons,Watsons,6.1095798,102.2303967,full
WAT644d525c05,Watsons Aeon Mall Taiping,"WATSONS AEON MALL TAIPING, LOT 616817 GROUD FLOOR AEON MALL TAIPING JALAN KAMUNTING . 34000 Taiping Perak",Perak,34000,Watsons,Watsons,4.8728469,100.7298124,full
WATa95340b054,Watsons Aeon Melaka,"WATSONS AEON MELAKA, LOT F18 1ST FLOOR JAYA AEON ' MELAKA LEBUH AYER KEROH . 75450 Melaka Tengah Melaka",Melaka,75450,Watsons,Watsons,2.2339604,102.282266,full
WATaebc4864b2,Watsons Aeon Nilai,"WATSONS AEON NILAI, LOT G21 GF AEON NILAI PT3583 JALAN BBN 1/3 PUTRA POINT . 71800 Nilai N.Sembilan",Negeri Sembilan,71800,Watsons,Watsons,2.8177047,101.7909299,full
WATc21d13c0e6,Watsons Aeon Permas Jaya,"WATSONS AEON PERMAS JAYA, LOT G26 GRD FLR JALAN ; PERMAS UTARA BANDAR BARU PERMAS JAYA . 81750 Plentong Johor",Johor,81750,Watsons,Watsons,1.4959694,103.8183657,full
WAT8c6d94767b,Watsons Aeon Rawang,"WATSONS AEON RAWANG, LOT G07 GROUND FLOOR AEON RAWANG NO1 PERSIARAN ANGGUN KOTA EMERALD . 48000 Rawang Selangor",Selangor,48000,Watsons,Watsons,3.3164214,101.536005,full
WAT077ed62db2,Watsons Aeon Seremban 2,"WATSONS AEON SEREMBAN 2, LOT G01 AEON SEREMBAN 2 'SHOPPING CENTRE NO.112 PERSIARAN S2 B1 SEREMBAN 70300 Seremban N.Sembilan",Negeri Sembilan,70300,Watsons,Watsons,2.7021179,101.9116305,full
WAT7e6d4c8418,Watsons Aeon Seri Manjung,"WATSONS AEON SERI MANJUNG, LOT G03 & GOS GRD FLR AEON SERI MANJUNG SHPG CTR PUSAT PERDAGANGAN MANSUNG 3 . 32040 Seri Manjung Perak",Perak,32040,Watsons,Watsons,4.2192067,100.6712111,full
