pharmacy_id,name,address,latitude,longitude,source
ChIJ970oKM9r2jERQCa8vHbgZnQ,KPJ Pasir Gudang Pharmacy,"LOT 204781, Jalan, Persiaran Dahlia 2, Taman Bukit Dahlia, 81700 Pasir Gudang, Johor Darul Ta'zim, Malaysia",1.4767328,103.895909,google_places
ChIJdRSVdx1A2jERVGgZFxLYAJg,Kedai Ubat & Barang-Barang Yong Hoe,"42, Jalan Perdagangan Damai, Taman Nusa Damai, 81700 Pasir Gudang, Johor Darul Ta'zim, Malaysia",1.4878253,103.9154282,google_places
ChIJIbSnJw3a0TER-3AyvZdQxAY,Kedai Ubat & Perniagaan E Hong,"3, Jalan Raya, Sagil, 84900 Tangkak, Johor, Malaysia, Sagil, 84800 Ledang, Johor, Malaysia",2.3053944,102.612933,google_places
ChIJrc3Qs9hu2jER8xZmhugkykQ,Kedai Ubat & Perniagaan Fu Zheng,"10, Jalan Beladau 17, Taman Puteri Wangsa, 81800 Ulu Tiram, Johor Darul Ta'zim, Malaysia",1.5906842,103.8058602,google_places
ChIJ-XlR-39r2jEReX0FZwU6bHI,Kedai Ubat & Perniagaan Jin Li Seng,"12, Jalan Permas 2/15, Bandar Baru Permas Jaya, 81750 Masai, Johor Darul Ta'zim, Malaysia",1.513849,103.821162,google_places
ChIJ_QV1ULif0DERu8BKkQeHC7k,Kedai Ubat & Perniagaan Yong Kang,"133, Jln Utama 4, Taman Utama, 81500 Pekan Nanas, Johor Darul Ta'zim, Malaysia",1.5057557,103.5174805,google_places
ChIJx5Bbdc9u2jERAq9adjKKhC0,Kedai Ubat & Perniagaan Yong Thye Heng (M) Sdn Bhd,"63, Jalan Badik 16, Taman Puteri Wangsa, 81800 Ulu Tiram, Johor Darul Ta'zim, Malaysia",1.5785289,103.810763,google_places
ChIJPTWelYfb0TERqSCJ_Htx9Lo,Kedai Ubat Aik Onn Tong,"111, Jalan Payamas, 84900 Tangkak, Johor Darul Ta'zim, Malaysia",2.2683857,102.5400004,google_places
ChIJF6op0vJd0DERSoJCCSBNsp4,Kedai Ubat Ban Dong 万隆中西药行,"4, Jalan Susur Intan, Taman Intan, 86400 Parit Raja, Johor Darul Ta'zim, Malaysia",1.8670475,103.1167638,google_places
ChIJt3IObO5q2jER17p1VWvi61A,Kedai Ubat Cheng Tai Hong,"26, Jalan Tasek 59, Bandar Seri Alam, 81750 Masai, Johor Darul Ta'zim, Malaysia",1.5032536,103.8843722,google_places
ChIJv464kap52jERnIHZol0XMmg,Kedai Ubat Chung Fah,"17, Jalan Susur Kulai 4, Taman Sri Kulai Baru, 81000 Kulai, Johor Darul Ta'zim, Malaysia",1.6662047999999998,103.5917343,google_places
ChIJFTxro_Rn0DERQcuFiz8tSPg,Kedai Ubat Dan Arak Chop Yan Woh Tong Medical Hall,"Taman Ayer Hitam, 86100 Ayer Hitam, Johor, Malaysia",1.9177366,103.1791867,google_places
ChIJsf8tzzO50TERlXuud-RGd70,Kedai Ubat Dan Perniagaan Aik Ann 益安,"Jln Temiang 1, Taman Sri Temiang, 84000 Muar, Johor Darul Ta'zim, Malaysia",2.0779339,102.5903557,google_places
ChIJDQBydpV22jERzjaJeNfswOU,Kedai Ubat Dan Perniagaan Chin Tat,"Taman Teratai, 81110 Johor Bahru, Johor, Malaysia",1.5701429999999998,103.6120616,google_places
ChIJ8Sfvj2t02jERX-9qC7DrTkY,Kedai Ubat Dan Runcit Heng Long,"29 & 31, Jalan Penyiaran 1, Taman Universiti, 81300 Skudai, Johor Darul Ta'zim, Malaysia",1.5315048999999998,103.618347,google_places
ChIJWdU7EGx02jERFGnjxo6SIyc,Kedai Ubat Dan Serbanika Soon Teck,"8,10&12, Jalan Kemuliaan 2, Taman Universiti, 81300 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.530659,103.6194869,google_places
